,Insulate hot water cylinder with 80 mm jacket,Increase hot water cylinder insulation,Add additional 80 mm jacket to hot water cylinder,Hot water cylinder thermostat,Increase loft insulation to 270 mm,Cavity wall insulation,50 mm internal or external wall insulation,Replace single glazed windows with low-E double glazing,Secondary glazing to single glazed windows,Draughtproof single-glazed windows,Upgrade heating controls,Time and temperature zone control,Solar water heating,Replace boiler with new condensing boiler,Replace boiler with biomass boiler,Wood pellet stove with boiler and radiators,Fan assisted storage heaters and dual immersion cylinder,Fan assisted storage heaters,Replacement warm air unit,Change heating to gas condensing boiler,Condensing oil boiler with radiators,Fan-assisted storage heaters,"Solar photovoltaic panels, 2.5 kWp",Low energy lighting for all fixed outlets,Replace heating unit with condensing unit,Install condensing boiler,Change room heaters to condensing boiler,Wind turbine,Flat roof insulation,Room-in-roof insulation,Floor insulation,High performance external doors,Heat recovery system for mixer showers,Flue gas heat recovery device in conjunction with boiler,Replacement glazing units,Suspended floor insulation,Solid floor insulation,High heat retention storage heaters and dual immersion cylinder,High heat retention storage heaters,Party wall insulation
glazed_type_double glazing installed before 2002,0.01218863,0.00073796173,0.0,9.007323e-05,0.00025680734,0.32461646,0.0035892103,0.010016904,0.0018199134,0.049378347,0.006813974,0.02789575,0.008246311,0.0009872227,0.0021007808,0.13456208,0.0,0.0006703563,0.022299284,0.0,6.0447444e-05,0.0027173168,0.0101306215,0.0061657038,0.0067710304,0.020169893,0.002006174,1.1099187e-05,0.004901039,4.1971256e-05,0.0067626196,0.0,0.0,0.00037145114,0.047504447,0.021296099,0.00026418295,0.0008950668,0.00083605654,0.00504333
glazed_type_double glazing installed during or after 2002,0.011815304,0.0,0.0,0.0002620278,0.008702813,0.034725767,0.0051120296,0.0112265125,0.0070467866,0.0020902588,0.017686173,0.015804604,0.0063271495,0.0,0.024145838,0.017101685,8.5342894e-05,8.03067e-06,0.016554963,0.0,0.0,0.0,0.005282438,0.0055346885,0.015285816,0.0,0.00043268665,1.5406888e-05,0.0027333088,0.0020811758,0.0017508325,0.0035641857,0.00010477656,0.00023483098,0.010647276,0.0026608568,0.00025736616,0.0009473853,0.0019974709,0.0018744522
"glazed_type_double glazing, unknown install date",0.009007543,0.0035043359,0.0019552137,0.030695511,0.057003014,0.010230608,0.0024499348,0.006506817,0.016445013,8.9823254e-05,0.013868061,0.0782035,0.0005954915,0.0,0.023524055,0.00059696817,0.00014727692,0.0006664532,0.0,0.0,0.0,0.0022153123,0.0023735822,0.0,0.0038064853,0.021244198,0.0009778296,3.5240253e-05,0.0028491984,1.1737185e-05,0.0022607313,0.0,0.001302696,0.00035782013,0.009159933,0.0012165258,0.00018795386,0.00055990065,0.005294782,0.008083401
glazed_type_single glazing,0.0,0.0,0.0,0.0,0.0,0.0,0.005656751,0.0,0.0006973425,0.00012793884,0.00033452248,0.005365489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014757392,0.0021841363,0.0,0.0,0.0,0.0,0.0,0.0,0.011210699,0.0,0.0,0.00023361537,0.0,0.0,0.0,0.0,0.00068337424,0.0
glazed_type_triple glazing,0.0,0.0,0.0,0.0,0.0003592889,0.0,0.0,0.012916665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glazed_area_Less Than Typical,0.0006201876,0.00012548394,0.0,0.0,0.0,0.00020929724,0.03768517,0.0,0.0,0.0038641328,0.0,0.0,0.0,0.0,0.0,0.0,0.00014734501,0.0,0.00028911486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018871283,0.0,0.00018736454,0.0,0.0,0.0,0.0,0.0,0.0
glazed_area_More Than Typical,0.010441235,0.00010677404,0.0,0.0,2.8905157e-05,0.013529965,9.098715e-05,0.0008698451,0.011132567,0.0006380712,0.0008822044,0.0,0.0,0.0002494916,0.0,0.014380015,0.0,0.0,0.0019723433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.881532e-06,0.0,0.0045680595,0.0019450812,0.0,0.0029928023,0.0025075965,0.0,0.0012315142,0.0,0.0
glazed_area_Much Less Than Typical,0.0,0.0,0.0,0.0,0.0,0.002685496,0.007978729,0.0,0.0,0.0075918343,0.0,0.0043446943,0.0,0.0,0.0,0.0015899666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.223966e-05,0.010080818,0.0,0.024439732,0.010910266,0.00095743214,0.0014337563,0.0,0.010106385,0.0,0.0,0.0,0.0
glazed_area_Much More Than Typical,0.0,0.0,0.0,0.0,0.0,0.0002310752,0.0,0.0,0.00023066466,0.0,0.0012590867,0.006949525,0.00013380802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6580346e-05,0.0,0.0,0.0,0.002151928,0.0015611689,0.0005284631,8.4891435e-05,9.552971e-05,0.0,0.0,0.0001544868,0.0,0.0
glazed_area_Normal,0.0,0.00041523407,0.0,0.0,0.0,0.001565038,0.0004234878,0.0,0.0028040945,0.0049587814,0.019890962,0.0042212675,0.0006635044,0.0,0.0,0.05377828,0.0003596813,0.0,0.0,0.0,0.003315929,0.0,0.0,0.0,0.0,0.0,0.0005680546,4.2719646e-05,0.0,9.350582e-05,0.009112938,0.006112181,0.0031472037,0.00083339016,0.0025056836,0.0017271405,0.0,3.792905e-05,0.0011328827,0.0
hot_water_energy_eff_Average,0.017996265,0.065642044,0.08733024,0.00015831347,0.0030204034,0.0,0.010565226,0.009172026,0.008344057,0.0,0.008212003,0.0017439735,0.00020348084,0.0009643763,0.0033340182,0.0,0.0,0.0,0.04069883,0.0,0.0,0.018870551,0.045663513,0.05131891,0.0,0.012627487,0.026791938,0.0011054438,0.010331404,0.0,0.00085348496,0.0,0.0012458242,0.0,0.00023713232,0.00028423083,0.029472545,0.009623452,0.021888345,0.0024355943
hot_water_energy_eff_Good,0.004837873,0.0,0.0,0.00022277044,0.009933015,0.0017611915,0.044176344,0.0,0.0005901447,0.0,0.0041007455,0.0028126154,0.008186544,0.0022178602,0.001905056,0.11518501,0.001030719,0.00118888,0.00019448232,0.0,0.0,0.0057173506,0.0029007585,0.0,0.0,0.0,0.002261848,0.0041698576,0.013108921,0.004176185,0.0056126895,0.0,0.0007145042,0.00023895074,0.00057397346,0.058046397,0.04781913,0.26728633,0.07601557,0.0076484275
hot_water_energy_eff_Poor,0.00258136,0.02301566,0.013158777,0.00031493697,0.00041812772,0.0027876175,0.009424969,0.0035949682,0.0092847645,7.089393e-05,0.0006948809,0.0053655864,0.0003061957,0.0,0.019908419,0.0,0.0017556496,7.196486e-06,0.028980408,0.0,6.2215426e-05,0.051336095,0.020257207,0.10855253,0.0024072754,0.01080985,0.106075026,0.00015071158,0.0038176281,0.0010572337,0.0016890968,0.007099324,0.0013925541,0.0,0.00089944893,0.0013139072,0.5263252,0.01680584,0.25153422,0.0042445576
hot_water_energy_eff_Very Good,9.576275e-05,0.0,0.0,0.014929525,0.0032107907,0.020592665,0.0,0.0,0.013935734,0.0,0.0036274476,0.0,0.00860356,0.0,0.0,0.0,0.0015737071,0.0,0.018564854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02609927,0.0013647181,0.0067131566,0.0,0.0035017102,0.0075764777,0.0014664683,0.0002195393,0.0024843782,0.0007118085,0.0,0.07716006,0.014303218,0.0007066869
hot_water_energy_eff_Very Poor,0.06730892,0.050321028,0.13687943,0.0005838424,0.00044111814,0.0301689,0.0016630301,0.008777089,0.0043705967,0.0,0.008113157,0.002667877,0.00010855938,0.0033470606,0.048884444,0.0014255629,0.006784184,1.3344699e-05,0.036992207,0.0,0.0,0.006285806,0.0077745384,0.053957332,0.03921186,0.022201762,0.0013817442,0.00015196687,0.008275322,4.6128357e-06,0.006561519,0.00678318,0.0010600598,0.0010049058,0.005314464,0.0014455576,0.002091543,0.0064069224,0.003969984,0.011734504
hot_water_env_eff_Average,0.014719592,0.0,0.00038992756,0.00023077165,0.0,0.0019924198,0.005157815,0.008786985,0.0,0.0,0.004313576,0.003341197,0.0032150524,0.0,0.014107121,0.0,3.0478925e-05,1.1623699e-06,0.0,0.0,0.0007038975,0.0053997394,0.0,0.0,0.0,0.0,0.24780226,3.0387126e-05,0.006675522,2.2949987e-05,0.001574475,0.0071782162,0.0011253373,0.00011766197,0.0005632383,0.00043504275,0.021384886,0.02047876,0.017073527,0.0015766952
hot_water_env_eff_Good,0.00059062295,0.0,0.0,0.00076479674,0.0034985729,0.0014295271,0.027700817,0.011464386,0.021388859,0.0,0.0049275807,0.0013303622,0.0038618555,0.00027515518,0.012029585,0.13132285,0.00071049674,0.001832065,0.0,0.0,0.06737958,0.0035330553,0.0,0.0,0.0,0.0,0.009457378,0.0043320153,0.0026837299,0.0010304612,0.007903134,0.0,0.0009102633,0.00017403296,0.00093776244,0.04068563,0.11539532,0.25832278,0.20648737,0.012996323
hot_water_env_eff_Poor,0.02175771,0.08344854,0.09857766,0.0,0.0036222965,0.0,0.011153698,0.010906605,0.004468349,0.0,0.0012631132,0.00384598,0.0002718809,0.001214353,0.011103961,0.0,0.0050300914,0.0,0.07055272,0.0,0.0,0.03616229,0.048881266,0.11368423,0.042625714,0.0,0.069683746,0.00081538805,0.021438537,3.3717315e-05,0.004179007,0.008359617,0.0012081168,0.0012129224,0.0076205097,0.002768171,0.006507365,0.016580315,0.011506978,0.012148484
hot_water_env_eff_Very Good,0.0,0.0011614508,0.0,0.05326496,0.012636631,0.034112733,0.0,0.015784418,0.011489835,0.002327486,0.0063874517,0.0,0.010804708,0.0,0.0,0.0,0.004571079,0.0019217725,0.0,0.0,0.012999007,0.0,0.0,0.0,0.0,0.0,0.0102330865,0.0013759906,0.0044327914,0.0,0.00422558,0.005273508,0.0026635285,9.38168e-05,0.0016006702,0.018871777,0.01859054,0.080568545,0.027151693,0.0005327704
hot_water_env_eff_Very Poor,0.0015943259,0.015267368,0.07394772,0.0,0.0,0.016594023,0.0,0.0071613933,0.009690353,0.0057865754,0.0,0.003775145,0.00035865585,0.00012554578,0.018562617,0.0,0.00017627842,0.0,0.091568224,0.0,0.0025667863,0.006573313,0.0631033,0.20191921,0.04294737,0.013176207,0.0015294421,0.00014040103,0.0,0.0,0.0040556486,0.008866979,0.0,0.0,0.0012540322,0.0008464091,0.009072408,0.01303621,0.0051786513,0.09224378
windows_description_full double glazing,0.0,0.0,0.0,0.004625142,0.00035427074,0.0028587524,0.004181006,0.012059389,0.005324167,0.0,0.0040098415,0.0030071086,0.00105012,0.0,0.0,0.0,0.00036191507,0.0010501517,0.0,0.0,0.0,0.0030643987,0.0004719837,0.0,0.032364294,0.010416603,0.0,2.0707424e-05,0.003470955,5.532045e-05,0.08650052,0.00092152663,0.05695961,0.00027275423,0.0,0.00025512435,0.0,0.0,0.0005613784,0.0
windows_description_high performance glazing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016868414,0.0,0.0,0.0,0.06055088,0.00073684496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009953419,0.0,0.0,0.012151288,0.0,0.0,0.0026368888,0.0,0.0,0.0,0.0,0.0,0.0
windows_description_mostly double glazing,0.0,0.0,0.0,0.0,6.1127794e-05,0.0,0.0011447914,0.00082015916,0.0,5.006252e-05,0.002843568,0.0015987538,6.678643e-05,0.0,0.02852791,0.009066682,0.0,0.0,0.0,0.0,2.9532399e-05,0.0,0.00045462366,0.0,0.0015402508,0.0063442886,0.0,0.0,0.0,0.0,0.010994418,0.0,0.0024041566,0.00012941837,0.0,0.00019647216,1.6137723e-05,0.00013733718,0.00054426433,0.0065683657
windows_description_other,0.0,0.0,0.0,0.0,0.00018813305,0.0011428134,0.0021721115,0.0,0.0,0.0013187095,0.0012264695,0.0009465437,0.0,0.0,0.008622906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276302,0.00606938,0.00042770518,0.0,0.0,0.0,3.553128e-05,0.0,0.0,0.00026941334
windows_description_partial double glazing,0.0002904184,0.0,0.0,0.0,0.0,0.030166335,0.0029774378,0.0,0.002706796,8.178796e-05,0.0022708338,0.0,0.0,0.0,0.0,0.00018705489,0.0,0.0,0.0,0.0,6.967079e-05,0.0,6.816814e-05,0.0,0.01285972,0.0,0.0,0.0,0.0,0.0,0.029507935,0.006911997,0.019670634,0.0,0.0009505728,0.00045583403,0.0003810304,0.0,0.00071362575,0.00048408046
