,Insulate hot water cylinder with 80 mm jacket,Increase hot water cylinder insulation,Add additional 80 mm jacket to hot water cylinder,Hot water cylinder thermostat,Increase loft insulation to 270 mm,Cavity wall insulation,50 mm internal or external wall insulation,Replace single glazed windows with low-E double glazing,Secondary glazing to single glazed windows,Draughtproof single-glazed windows,Upgrade heating controls,Time and temperature zone control,Solar water heating,Replace boiler with new condensing boiler,Replace boiler with biomass boiler,Wood pellet stove with boiler and radiators,Fan assisted storage heaters and dual immersion cylinder,Fan assisted storage heaters,Replacement warm air unit,Change heating to gas condensing boiler,Condensing oil boiler with radiators,Fan-assisted storage heaters,"Solar photovoltaic panels, 2.5 kWp",Low energy lighting for all fixed outlets,Replace heating unit with condensing unit,Install condensing boiler,Change room heaters to condensing boiler,Wind turbine,Flat roof insulation,Room-in-roof insulation,Floor insulation,High performance external doors,Heat recovery system for mixer showers,Flue gas heat recovery device in conjunction with boiler,Replacement glazing units,Suspended floor insulation,Solid floor insulation,High heat retention storage heaters and dual immersion cylinder,High heat retention storage heaters,Party wall insulation
mainheat_description_Portable electric heaters assumed for most rooms,0.00040210586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012441659,0.0,0.0,0.0,6.540433e-06,0.05787118,0.0,0.0,0.0,0.0,0.00076067675,0.0,1.2074357e-06,0.0,0.0,6.438307e-05,0.002299245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9811e-05,0.0,0.0,0.0,0.0029928775
"mainheat_description_Room heaters, coal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00075459725,0.00022261764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022969372,0.0,0.0,0.0,0.053244513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8240035e-05,0.0,0.0,0.0,0.0,0.0,0.00061448367
"mainheat_description_Room heaters, dual fuel (mineral and wood)",6.931058e-05,0.0,0.0,0.0,0.0,0.00014943781,0.0,0.00033979668,0.00921913,0.0,0.000112568516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011386632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016028101
"mainheat_description_Room heaters, electric",0.0,0.03755257,0.02544305,8.075194e-05,0.0,0.00017942378,0.0,0.008924025,0.014668179,4.1438834e-05,0.00036164254,0.0,0.00038943664,0.002052043,0.0,0.0,0.0046540066,0.0,0.14667293,0.0,0.018992437,0.0,0.0,0.0025091572,0.0,0.0,0.0,0.0,0.0,0.0,0.0007140888,0.0062433104,9.268373e-05,0.00012967165,0.0015693484,7.5323675e-05,0.0011020071,0.0,0.0054324595,0.00014600948
"mainheat_description_Room heaters, mains gas",0.0,0.0,0.0,2.1384458e-06,0.0,0.0012207851,0.0067484756,0.0044654235,0.0,0.0,0.0,0.0,0.0,0.7258007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075529087,0.0,0.0,0.0,0.0003945336,0.0,0.0,3.1205393e-05,0.0,2.6434902e-05,0.0,0.000111534064,0.0024143865,0.0
"mainheat_description_Room heaters, wood logs",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7787e-05,0.0083145965,0.0,0.00017645438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016370048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005384138,0.00013727113,0.0,0.0,0.00013064324,7.6245386e-05,9.816456e-05,0.0,0.000785432
"mainheat_description_Warm air, mains gas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032229407,0.0,0.0,0.0,0.0,0.0,0.0068930187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82570535,0.0,0.0,0.0,0.0,0.009288778,0.0,0.0043495377,0.0044250814,0.0,0.0,0.0,0.0,0.0,0.0,0.00252457,0.0,0.0,3.8069535e-05
mainheat_description_other,0.0051894556,1.3148406e-06,0.00019992367,0.0,1.0870808e-05,0.0,0.022633553,0.000852382,0.0,0.0,0.0030517348,0.00028535727,0.0005233074,0.00010244675,0.00026327823,0.0,0.0,0.00021742498,4.966512e-05,0.004767422,0.002492201,1.5873997e-05,0.0,0.0,0.003977319,0.0,9.0747635e-05,0.0,0.0,6.207779e-05,0.00046716369,0.008918647,0.0,0.0,0.0,0.0,0.0,0.0,0.0006648602,0.004559303
mainheatcont_description_Appliance thermostats,4.7368034e-05,0.0015047534,4.4511242e-05,7.275997e-05,0.0,0.0,0.0,0.0,0.000763268,8.6397755e-05,0.002314124,0.0,0.0,0.0020988802,0.0,0.0,0.00011764683,0.0,0.05036696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017217585,0.0,5.840986e-05,0.0004100455,0.001440763,0.00037722036,0.0,0.0,0.0,0.0013252214
mainheatcont_description_Automatic charge control,0.0,0.01459602,0.0015071837,0.0,0.0,0.0003824238,0.0,0.0,0.0,0.0,0.0,0.0022202693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029676177,0.00064147764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047590688,0.00017719541,0.0,0.0,0.007022743,0.002493176
